Scan ID, Event Time         , BSSID            , SSID             , Device Name            , Accuracy, MGRS           , Latitude, Longitude, Altitude Meters, RSSI, Channel, Frequency MHz, Security, Manufacturer   , Device Type , Source      , Notes
SV-0060, 2026-05-19 16:34:09, 7E:57:21:AA:CC:09, UnknownWearable  , Unknown Watch          ,       20, 15SWC8136480923, 41.89747, -87.62537,             183, -87 ,      40,          5200, WPA3    , Garmin         , Wearable    , passive scan,wearable new MGRS
SV-0061, 2026-05-19 16:42:32, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,        9, 15SWC8137680969, 41.89790, -87.62528,             183, -71 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,repeat device new MGRS
SV-0062, 2026-05-19 16:49:56, 6C:40:08:AA:10:01, HomeBase-Router  , HomeBase Router        ,        5, 15SWC8083478912, 41.87801, -87.62964,             181, -44 ,      11,          2462, WPA2    , Netgear        , Access Point, passive scan,router repeated same MGRS
SV-0063, 2026-05-19 16:58:19, F0:9F:C2:55:67:89, WarehouseCam-2   , Warehouse Camera 2     ,       10, 15SWC8091879305, 41.88154, -87.62888,             184, -75 ,       1,          2412, WPA2    , Hikvision      , Camera      , active scan ,camera repeated same MGRS
SV-0064, 2026-05-19 17:06:42, 2A:91:8B:EF:30:44, HiddenNetwork    , Unknown Android        ,       14, 15SWC8138881014, 41.89833, -87.62519,             183, -84 ,     149,          5745, WPA3    , Samsung        , Mobile      , passive scan,hidden SSID new MGRS
SV-0065, 2026-05-19 17:14:05, 8E:31:4F:0C:2A:B8, ShadowPrinter    , Office Printer         ,        7, 15SWC8083578915, 41.87804, -87.62960,             181, -59 ,       1,          2412, WPA2    , HP             , Printer     , active scan ,printer repeated same MGRS
SV-0066, 2026-05-19 17:22:29, E4:5F:01:88:20:77, DeliveryScanner  , Handheld Scanner 7     ,       17, 15SWC8140081060, 41.89876, -87.62510,             183, -82 ,      40,          5200, WPA2    , Zebra          , Scanner     , passive scan,scanner moved
SV-0067, 2026-05-19 17:30:52, DC:A6:32:90:10:FE, StorePOS         , POS Terminal 1         ,        5, 15SWC8087879088, 41.87972, -87.62927,             182, -51 ,      36,          5180, WPA2    , Square         , POS         , active scan ,repeat same location
SV-0068, 2026-05-19 17:39:15, 44:55:66:77:88:99, TransitWiFi      , Bus AP 431             ,       24, 15SWC8141281105, 41.89919, -87.62501,             182, -89 ,      44,          5220, Open    , Cradlepoint    , Access Point, passive scan,moving access point
SV-0069, 2026-05-19 17:47:38, 18:74:2E:AB:CD:01, LibraryWiFi-East , Library East AP        ,        7, 15SWC8142481151, 41.89961, -87.62492,             182, -63 ,       6,          2437, WPA2    , Cisco          , Access Point, active scan ,library AP new MGRS
SV-0070, 2026-05-19 17:55:01, 70:3A:CB:22:44:55, CitySensor-17    , Air Quality Sensor 17  ,       19, 15SWC8128080603, 41.89447, -87.62600,             182, -85 ,      11,          2462, WPA2    , Bosch          , Sensor      , passive scan,city sensor repeat
SV-0071, 2026-05-19 18:03:25, 02:11:22:33:44:55, RandomizedPhone-1, Unknown iOS Device     ,       12, 15SWC8143681197, 41.90004, -87.62483,             183, -78 ,     149,          5745, WPA3    , Apple          , Mobile      , passive scan,randomized MAC new MGRS
SV-0072, 2026-05-19 18:10:48, 10:FE:ED:44:12:01, ClinicGuest      , Clinic Tablet A        ,        9, 15SWC8144881243, 41.90047, -87.62474,             183, -70 ,      36,          5180, WPA2    , Lenovo         , Tablet      , active scan ,clinic tablet moved
SV-0073, 2026-05-19 18:18:11, 9C:8E:CD:01:23:45, HotelIoT         , Smart Thermostat 3     ,       11, 15SWC8130480695, 41.89533, -87.62582,             184, -73 ,       1,          2412, WPA2    , Honeywell      , Sensor      , passive scan,thermostat repeat
SV-0074, 2026-05-19 18:26:34, BC:AD:28:45:90:12, ParkingMeterNet  , Meter Gateway 12       ,       18, 15SWC8146081288, 41.90090, -87.62465,             182, -86 ,      44,          5220, WPA2    , Sierra Wireless, Gateway     , passive scan,meter gateway moved
SV-0075, 2026-05-19 18:34:57, 58:CB:52:AA:90:77, CampusSecure     , Security Badge Reader  ,        8, 15SWC8147281334, 41.90133, -87.62456,             182, -65 ,      11,          2462, WPA2    , HID            , Reader      , active scan ,badge reader moved
SV-0076, 2026-05-19 18:42:20, C8:D7:19:10:20:30, FoodTruckPOS     , Food Truck POS         ,       15, 15SWC8132880786, 41.89619, -87.62564,             183, -81 ,       6,          2437, WPA2    , Clover         , POS         , passive scan,food truck POS repeat
SV-0077, 2026-05-19 18:50:44, 34:12:98:76:54:32, DroneController  , Survey Drone Controller,       26, 15SWC8148481380, 41.90176, -87.62447,             185, -90 ,     149,          5745, WPA2    , DJI            , Controller  , active scan ,drone controller moved
SV-0078, 2026-05-19 18:58:07, 90:2B:34:56:78:9A, MuseumBeacon     , Museum Beacon West     ,        4, 15SWC8149681426, 41.90218, -87.62438,             181, -49 ,       1,          2412, Open    , Kontakt.io     , Beacon      , passive scan,beacon new MGRS
SV-0079, 2026-05-19 19:06:30, A0:B1:C2:D3:E4:F5, GuestLobby       , Lobby AP 1             ,        7, 15SWC8135280877, 41.89704, -87.62546,             182, -61 ,      36,          5180, WPA2    , Ubiquiti       , Access Point, active scan ,lobby AP repeat
SV-0080, 2026-05-19 19:13:53, 7E:57:21:AA:CC:09, UnknownWearable  , Unknown Watch          ,       21, 15SWC8150881471, 41.90261, -87.62429,             183, -88 ,      40,          5200, WPA3    , Garmin         , Wearable    , passive scan,wearable new MGRS
SV-0081, 2026-05-19 19:22:16, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,       10, 15SWC8137680969, 41.89790, -87.62528,             183, -72 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,repeat same MGRS
SV-0082, 2026-05-19 19:30:40, 6C:40:08:AA:10:01, HomeBase-Router  , HomeBase Router        ,        6, 15SWC8083478912, 41.87801, -87.62964,             181, -45 ,      11,          2462, WPA2    , Netgear        , Access Point, passive scan,router repeated same MGRS
SV-0083, 2026-05-19 19:38:03, F0:9F:C2:55:67:89, WarehouseCam-2   , Warehouse Camera 2     ,       11, 15SWC8091879305, 41.88155, -87.62887,             184, -76 ,       1,          2412, WPA2    , Hikvision      , Camera      , active scan ,camera repeated same MGRS
SV-0084, 2026-05-19 19:46:26, 2A:91:8B:EF:30:44, HiddenNetwork    , Unknown Android        ,       15,                , 41.90304, -87.62420,             183, -85 ,     149,          5745, WPA3    , Samsung        , Mobile      , passive scan,blank MGRS should not count
SV-0085, 2026-05-19 19:54:49, 8E:31:4F:0C:2A:B8, ShadowPrinter    , Office Printer         ,        7, 15SWC8083578915, 41.87804, -87.62960,             181, -60 ,       1,          2412, WPA2    , HP             , Printer     , active scan ,printer repeated same MGRS
SV-0086, 2026-05-19 20:02:12, E4:5F:01:88:20:77, DeliveryScanner  , Handheld Scanner 7     ,       18, 15SWC8152081517, 41.90347, -87.62411,             183, -83 ,      40,          5200, WPA2    , Zebra          , Scanner     , passive scan,scanner moved
SV-0087, 2026-05-19 20:10:36, DC:A6:32:90:10:FE, StorePOS         , POS Terminal 1         ,        5, 15SWC8087879088, 41.87972, -87.62927,             182, -52 ,      36,          5180, WPA2    , Square         , POS         , active scan ,repeat same location
SV-0088, 2026-05-19 20:17:59, 44:55:66:77:88:99, TransitWiFi      , Bus AP 431             ,       24, 15SWC8153281563, 41.90389, -87.62402,             182, -90 ,      44,          5220, Open    , Cradlepoint    , Access Point, passive scan,moving access point
SV-0089, 2026-05-19 20:26:22, 18:74:2E:AB:CD:01, LibraryWiFi-East , Library East AP        ,        8, 15SWC8142481151, 41.89961, -87.62492,             182, -64 ,       6,          2437, WPA2    , Cisco          , Access Point, active scan ,library AP repeat
SV-0090, 2026-05-19 20:34:45, 70:3A:CB:22:44:55, CitySensor-17    , Air Quality Sensor 17  ,       20, 15SWC8154481608, 41.90432, -87.62393,             182, -86 ,      11,          2462, WPA2    , Bosch          , Sensor      , passive scan,city sensor moved
SV-0091, 2026-05-19 20:42:08, 02:11:22:33:44:55, RandomizedPhone-1, Unknown iOS Device     ,       13, 15SWC8143681197, 41.90004, -87.62483,             183, -79 ,     149,          5745, WPA3    , Apple          , Mobile      , passive scan,randomized MAC repeat
SV-0092, 2026-05-19 20:50:31, 10:FE:ED:44:12:01, ClinicGuest      , Clinic Tablet A        ,       10, 15SWC8155681654, 41.90475, -87.62384,             183, -71 ,      36,          5180, WPA2    , Lenovo         , Tablet      , active scan ,clinic tablet moved
SV-0093, 2026-05-19 20:58:55, 9C:8E:CD:01:23:45, HotelIoT         , Smart Thermostat 3     ,       11, 15SWC8130480695, 41.89533, -87.62582,             184, -74 ,       1,          2412, WPA2    , Honeywell      , Sensor      , passive scan,thermostat repeat
SV-0094, 2026-05-19 21:06:18, BC:AD:28:45:90:12, ParkingMeterNet  , Meter Gateway 12       ,       18, 15SWC8156881700, 41.90518, -87.62375,             182, -87 ,      44,          5220, WPA2    , Sierra Wireless, Gateway     , passive scan,meter gateway moved
SV-0095, 2026-05-19 21:14:41, 58:CB:52:AA:90:77, CampusSecure     , Security Badge Reader  ,        8, 15SWC8147281334, 41.90133, -87.62456,             182, -66 ,      11,          2462, WPA2    , HID            , Reader      , active scan ,badge reader repeat
SV-0096, 2026-05-19 21:22:04, C8:D7:19:10:20:30, FoodTruckPOS     , Food Truck POS         ,       16, 15SWC8158081745, 41.90561, -87.62366,             183, -82 ,       6,          2437, WPA2    , Clover         , POS         , passive scan,food truck POS moved
SV-0097, 2026-05-19 21:30:28, 34:12:98:76:54:32, DroneController  , Survey Drone Controller,       27, 15SWC8148481380, 41.90176, -87.62447,             185, -91 ,     149,          5745, WPA2    , DJI            , Controller  , active scan ,drone controller repeat
SV-0098, 2026-05-19 21:38:51, 90:2B:34:56:78:9A, MuseumBeacon     , Museum Beacon West     ,        5, 15SWC8159281791, 41.90604, -87.62357,             181, -50 ,       1,          2412, Open    , Kontakt.io     , Beacon      , passive scan,beacon new MGRS
SV-0099, 2026-05-19 21:46:14, A0:B1:C2:D3:E4:F5, GuestLobby       , Lobby AP 1             ,        7, 15SWC8135280877, 41.89704, -87.62546,             182, -62 ,      36,          5180, WPA2    , Ubiquiti       , Access Point, active scan ,lobby AP repeat
SV-0100, 2026-05-19 21:54:37, 7E:57:21:AA:CC:09, UnknownWearable  , Unknown Watch          ,       22, 15SWC8160481837, 41.90647, -87.62348,             183, -89 ,      40,          5200, WPA3    , Garmin         , Wearable    , passive scan,wearable new MGRS
SV-0101, 2026-05-19 22:03:00, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,       10, 15SWC8161681882, 41.90690, -87.62339,             183, -73 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,repeat device new MGRS
SV-0102, 2026-05-19 22:11:24, 6C:40:08:AA:10:01, HomeBase-Router  , HomeBase Router        ,        6, 15SWC8083478912, 41.87801, -87.62964,             181, -46 ,      11,          2462, WPA2    , Netgear        , Access Point, passive scan,router repeated same MGRS
SV-0103, 2026-05-19 22:18:47, F0:9F:C2:55:67:89, WarehouseCam-2   , Warehouse Camera 2     ,       11, 15SWC8091879305, 41.88156, -87.62886,             184, -77 ,       1,          2412, WPA2    , Hikvision      , Camera      , active scan ,camera repeated same MGRS
SV-0104, 2026-05-19 22:27:10, 2A:91:8B:EF:30:44, HiddenNetwork    , Unknown Android        ,       15, 15SWC8162881928, 41.90733, -87.62330,             183, -86 ,     149,          5745, WPA3    , Samsung        , Mobile      , passive scan,hidden SSID new MGRS
SV-0105, 2026-05-19 22:35:33, 8E:31:4F:0C:2A:B8, ShadowPrinter    , Office Printer         ,        7, 15SWC8083578915, 41.87804, -87.62960,             181, -61 ,       1,          2412, WPA2    , HP             , Printer     , active scan ,printer repeated same MGRS
SV-0106, 2026-05-19 22:43:56, E4:5F:01:88:20:77, DeliveryScanner  , Handheld Scanner 7     ,       18, 15SWC8164081974, 41.90776, -87.62321,             183, -84 ,      40,          5200, WPA2    , Zebra          , Scanner     , passive scan,scanner moved
SV-0107, 2026-05-19 22:52:19, DC:A6:32:90:10:FE, StorePOS         , POS Terminal 1         ,        5, 15SWC8087879088, 41.87972, -87.62927,             182, -53 ,      36,          5180, WPA2    , Square         , POS         , active scan ,repeat same location
SV-0108, 2026-05-19 23:00:43, 44:55:66:77:88:99, TransitWiFi      , Bus AP 431             ,       25, 15SWC8165282019, 41.90818, -87.62312,             182, -91 ,      44,          5220, Open    , Cradlepoint    , Access Point, passive scan,moving access point
SV-0109, 2026-05-19 23:08:06, 18:74:2E:AB:CD:01, LibraryWiFi-East , Library East AP        ,        8, 15SWC8166482065, 41.90861, -87.62303,             182, -65 ,       6,          2437, WPA2    , Cisco          , Access Point, active scan ,library AP new MGRS
